Operating model,Estimation model,aic,index
Diffusion,Null,0,4-0.1
Diffusion,Diffusion,1,4-0.5
Diffusion,Null,0,4-0.5
Diffusion,Diffusion,1,5-0.25
Diffusion,Null,0,5-0.25
Diffusion,Diffusion,1,5-0.1
Diffusion,Null,0,5-0.1
Diffusion,Diffusion,1,5-0.5
Diffusion,Null,0,5-0.5
Diffusion,Diffusion,1,6-0.25
Diffusion,Null,0,6-0.25
Diffusion,Diffusion,1,6-0.1
Diffusion,Null,0,6-0.1
Diffusion,Diffusion,1,6-0.5
Diffusion,Null,0,6-0.5
Diffusion,Diffusion,1,7-0.25
Diffusion,Null,0,7-0.25
Diffusion,Diffusion,1,7-0.1
Diffusion,Null,0,7-0.1
Diffusion,Diffusion,1,7-0.5
Diffusion,Null,0,7-0.5
Diffusion,Diffusion,1,8-0.25
Diffusion,Null,0,8-0.25
Diffusion,Diffusion,1,8-0.1
Diffusion,Null,0,8-0.1
Diffusion,Diffusion,1,8-0.5
Diffusion,Null,0,8-0.5
Diffusion,Diffusion,1,9-0.25
Diffusion,Null,0,9-0.25
Diffusion,Diffusion,1,9-0.1
Diffusion,Null,0,9-0.1
Diffusion,Diffusion,1,9-0.5
Diffusion,Null,0,9-0.5
Diffusion,Diffusion,1,10-0.25
Diffusion,Null,0,10-0.25
Diffusion,Diffusion,1,10-0.1
Diffusion,Null,0,10-0.1
Diffusion,Diffusion,1,10-0.5
Diffusion,Null,0,10-0.5
Diffusion,Diffusion,1,11-0.25
Diffusion,Null,0,11-0.25
Diffusion,Diffusion,1,11-0.1
Diffusion,Null,0,11-0.1
Diffusion,Diffusion,1,11-0.5
Diffusion,Null,0,11-0.5
Diffusion,Diffusion,1,12-0.25
Diffusion,Null,0,12-0.25
Diffusion,Diffusion,1,12-0.1
Diffusion,Null,0,12-0.1
Diffusion,Diffusion,0,12-0.5
Diffusion,Null,1,12-0.5
Diffusion,Diffusion,1,13-0.25
Diffusion,Null,0,13-0.25
Diffusion,Diffusion,1,13-0.1
Diffusion,Null,0,13-0.1
Diffusion,Diffusion,1,13-0.5
Diffusion,Null,0,13-0.5
Diffusion,Diffusion,1,14-0.25
Diffusion,Null,0,14-0.25
Diffusion,Diffusion,1,14-0.1
Diffusion,Null,0,14-0.1
Diffusion,Diffusion,1,14-0.5
Diffusion,Null,0,14-0.5
Diffusion,Diffusion,1,15-0.25
Diffusion,Null,0,15-0.25
Diffusion,Diffusion,1,15-0.1
Diffusion,Null,0,15-0.1
Diffusion,Diffusion,1,15-0.5
Diffusion,Null,0,15-0.5
Diffusion,Diffusion,1,16-0.25
Diffusion,Null,0,16-0.25
Diffusion,Diffusion,1,16-0.1
Diffusion,Null,0,16-0.1
Diffusion,Diffusion,1,16-0.5
Diffusion,Null,0,16-0.5
Diffusion,Diffusion,1,17-0.25
Diffusion,Null,0,17-0.25
Diffusion,Diffusion,1,17-0.1
Diffusion,Null,0,17-0.1
Diffusion,Diffusion,1,17-0.5
Diffusion,Null,0,17-0.5
Diffusion,Diffusion,1,18-0.25
Diffusion,Null,0,18-0.25
Diffusion,Diffusion,1,18-0.1
Diffusion,Null,0,18-0.1
Diffusion,Diffusion,1,18-0.5
Diffusion,Null,0,18-0.5
Diffusion,Diffusion,1,19-0.25
Diffusion,Null,0,19-0.25
Diffusion,Diffusion,1,19-0.1
Diffusion,Null,0,19-0.1
Diffusion,Diffusion,1,19-0.5
Diffusion,Null,0,19-0.5
Diffusion,Diffusion,1,20-0.25
Diffusion,Null,0,20-0.25
Diffusion,Diffusion,1,20-0.1
Diffusion,Null,0,20-0.1
Diffusion,Diffusion,1,20-0.5
Diffusion,Null,0,20-0.5
Diffusion,Diffusion,1,21-0.25
Diffusion,Null,0,21-0.25
Diffusion,Diffusion,1,21-0.1
Diffusion,Null,0,21-0.1
Diffusion,Diffusion,1,21-0.5
Diffusion,Null,0,21-0.5
Diffusion,Diffusion,1,22-0.25
Diffusion,Null,0,22-0.25
Diffusion,Diffusion,1,22-0.1
Diffusion,Null,0,22-0.1
Diffusion,Diffusion,1,22-0.5
Diffusion,Null,0,22-0.5
Diffusion,Diffusion,1,23-0.25
Diffusion,Null,0,23-0.25
Diffusion,Diffusion,1,23-0.1
Diffusion,Null,0,23-0.1
Diffusion,Diffusion,1,23-0.5
Diffusion,Null,0,23-0.5
Diffusion,Diffusion,1,24-0.25
Diffusion,Null,0,24-0.25
Diffusion,Diffusion,1,24-0.1
Diffusion,Null,0,24-0.1
Diffusion,Diffusion,1,24-0.5
Diffusion,Null,0,24-0.5
Diffusion,Diffusion,1,25-0.25
Diffusion,Null,0,25-0.25
Diffusion,Diffusion,1,25-0.1
Diffusion,Null,0,25-0.1
Diffusion,Diffusion,1,25-0.5
Diffusion,Null,0,25-0.5
Diffusion,Diffusion,1,26-0.25
Diffusion,Null,0,26-0.25
Diffusion,Diffusion,1,26-0.1
Diffusion,Null,0,26-0.1
Diffusion,Diffusion,1,26-0.5
Diffusion,Null,0,26-0.5
Diffusion,Diffusion,1,27-0.25
Diffusion,Null,0,27-0.25
Diffusion,Diffusion,1,27-0.1
Diffusion,Null,0,27-0.1
Diffusion,Diffusion,1,27-0.5
Diffusion,Null,0,27-0.5
Diffusion,Diffusion,1,28-0.25
Diffusion,Null,0,28-0.25
Diffusion,Diffusion,1,28-0.1
Diffusion,Null,0,28-0.1
Diffusion,Diffusion,1,28-0.5
Diffusion,Null,0,28-0.5
Diffusion,Diffusion,1,29-0.25
Diffusion,Null,0,29-0.25
Diffusion,Diffusion,1,29-0.1
Diffusion,Null,0,29-0.1
Diffusion,Diffusion,1,29-0.5
Diffusion,Null,0,29-0.5
Diffusion,Diffusion,1,30-0.25
Diffusion,Null,0,30-0.25
Diffusion,Diffusion,1,30-0.1
Diffusion,Null,0,30-0.1
Diffusion,Diffusion,1,30-0.5
Diffusion,Null,0,30-0.5
Diffusion,Diffusion,1,31-0.25
Diffusion,Null,0,31-0.25
Diffusion,Diffusion,1,31-0.1
Diffusion,Null,0,31-0.1
Diffusion,Diffusion,1,31-0.5
Diffusion,Null,0,31-0.5
Diffusion,Diffusion,1,32-0.25
Diffusion,Null,0,32-0.25
Diffusion,Diffusion,1,32-0.1
Diffusion,Null,0,32-0.1
Diffusion,Diffusion,1,32-0.5
Diffusion,Null,0,32-0.5
Diffusion,Diffusion,1,33-0.25
Diffusion,Null,0,33-0.25
Diffusion,Diffusion,1,33-0.1
Diffusion,Null,0,33-0.1
